feature,label,confidence,polysemantic,bal_acc,f1,fire_count,notes
187,Tampax tampon product packaging,0.98,False,1.0,1.0,,"All 16 images show Tampax brand tampon boxes with consistent blue background, white text, and colored diagonal stripe design elements."
123,Yellow and orange flowers,0.95,False,1.0,1.0,,"All images show cup-shaped or open flowers in yellow, orange, or warm color tones, predominantly buttercups or similar simple flower varieties."
203,Yellow flowering plants or flowers,0.95,False,1.0,1.0,,"All images prominently feature bright yellow flowers in various stages of bloom, with clustered small flower heads characteristic of plants like mustard or rapeseed."
201,Fern fronds and foliage,0.95,False,1.0,1.0,,"All images feature ferns with characteristic pinnate (feather-like) leaf structures, ranging from dense green foliage to lighter yellow-green varieties, consistently recognizable by their distinctive frond pattern."
206,Ancient Roman columns and ruins,0.95,False,1.0,1.0,,All images prominently feature vertical stone columns characteristic of Roman archaeological sites and ancient ruins.
212,wine bottle glass liquid,0.92,False,1.0,1.0,,"All images show close-up views of wine bottles with liquid visible inside, characterized by the distinctive curved glass shape and varying wine colors from pale yellow to deep brown."
202,Dust storms and haboobs,0.95,False,1.0,1.0,,"All images show massive walls or clouds of dust/sand being kicked up by severe weather events, characterized by thick, towering dust clouds advancing across landscapes."
100,Spiral lollipops and candy,0.92,False,1.0,1.0,,All images feature colorful spiral-patterned lollipops or swirled candy with characteristic rotating/swirling designs in bright primary colors.
128,Stacked rocks or rock cairns,0.98,False,1.0,1.0,,"All images show vertically stacked stones balanced on top of each other, a common outdoor feature found in nature and hiking contexts."
253,Sailboats and sailing activities,0.95,False,1.0,1.0,,"All images show sailboats with raised sails, crews managing rigging, and various sailing scenes on water."
104,Sailboats with white sails,0.95,False,1.0,1.0,,"All images feature sailboats on water, with white being the dominant sail color across most examples, though some include colored sails as secondary features."
197,Mushroom fruiting bodies with textured caps,0.95,False,1.0,1.0,,"All images show fungi with distinctive bulbous or rounded caps featuring a characteristic scaled or honeycomb texture, representing various mushroom species in their fruiting stage."
256,Historic residential mansion buildings,0.92,False,1.0,1.0,,"All images show grand historic houses, manor homes, or estates with distinctive architectural styles from 18th-19th centuries, often featuring columns, ornate details, and formal landscaping."
254,Horse bridle bits and chains,0.92,False,1.0,1.0,,"Images show various types of equestrian hardware including snaffle bits, chain bits, and bridle components used for horse control and riding equipment."
280,joystick game controller,0.98,False,1.0,1.0,,"All 16 images show nearly identical vintage joystick controllers with a spherical top and black handle, only varying slightly in angle and lighting."
114,Sheep grazing in pastoral meadows,0.95,False,1.0,1.0,,All images depict flocks of sheep scattered across green grassy fields in rural landscapes.
279,Small white flowers in clusters,0.95,False,1.0,1.0,,"All images show dense clusters of small white or pale purple flowers blooming among green foliage, likely wildflowers or flowering shrubs."
295,Eucalyptus tree flowers and foliage,0.85,False,1.0,1.0,,"The montage consistently shows eucalyptus trees with their characteristic long narrow leaves, drooping branches, and distinctive yellow flowers in various stages of bloom."
107,Lavender flowers and plants,0.95,False,1.0,1.0,,"Nearly all images feature lavender in various forms - fresh bunches, dried flowers, potted plants, and close-ups of the distinctive purple blooms with characteristic green stems."
294,Internal combustion engines,0.98,False,1.0,1.0,,"All images show various automobile engines or engine components, including inline, V-shaped, and multi-cylinder configurations from different manufacturers and perspectives."
135,Dome and tunnel camping tents,0.92,False,1.0,1.0,,"All images show variations of dome-shaped or tunnel-shaped tents, which are distinctive tent architectures characterized by their curved fabric structures and entrance designs."
308,leafy green herbaceous plants,0.92,False,1.0,1.0,,"All images show dense foliage of green leafy plants with characteristic small to medium-sized leaves, including herbs, clover, and small-leaved vegetation typical of ground cover or herb gardens."
5,Cooked meat with visible bones or stems,0.85,False,1.0,1.0,,"Images consistently show prepared meat dishes featuring protruding bones, stems, or skeletal structures as a prominent visual characteristic."
297,Yellow flowers blooming in nature,0.98,False,1.0,1.0,,All images consistently show bright yellow flowers (primarily dandelions and sunflowers) as the dominant visual element across various natural settings.
311,Yellow flowering plants or flowers,0.95,False,1.0,1.0,,"All images feature yellow-blooming plants, most commonly lupines or similar tall spiky flowers, with consistent yellow coloration as the dominant visual feature."
319,Small clustered flowers,0.92,False,1.0,1.0,,"All images feature densely packed small flowers in clusters or umbels, predominantly white and yellow wildflowers in natural garden settings."
329,Wagon wheel hub and spokes,0.92,False,1.0,1.0,,"All images show the central hub and radiating spoke structure of wheels, predominantly vintage wagon or cart wheels in various states of weathering and patina."
276,Trifoliate or compound leaves,0.92,False,1.0,1.0,,"All images show leaves with three leaflets arranged palmately or along a central stem, a characteristic leaf structure found in many plant species."
341,Goats in pastoral settings,0.95,False,1.0,1.0,,"All images show goats in various outdoor environments, predominantly in grazing or pastoral contexts with diverse coat colors and terrain types."
282,Small delicate flowers with visible petals,0.92,False,1.0,1.0,,"All images show small wildflowers or garden flowers with distinct, clearly visible petal structures, primarily in yellow, white, and orange tones."
258,Cable connectors and plugs,0.92,False,1.0,1.0,,"All images show various types of electrical connectors, cable adapters, and plug mechanisms with characteristic rectangular/cylindrical housings and attached cables."
236,Yellow-capped mushrooms with white stems,0.92,False,1.0,1.0,,"All images show fungi with distinctive pale or white stems and yellow to yellowish-green rounded caps, predominantly photographed in soil or forest floor settings."
337,Purple and blue flowering plants,0.95,False,1.0,1.0,,"All images consistently show flowers in shades of purple, blue, and lavender, appearing to be herbaceous plants like salvias, delphiniums, or similar flowering species."
290,White morning glory flowers,0.95,False,1.0,1.0,,"All images show white or pale pink funnel-shaped flowers with yellow/green centers characteristic of morning glories (Ipomoea species), consistently photographed against green foliage backgrounds."
356,People playing acoustic guitar,0.95,False,1.0,1.0,,Every image shows one or more individuals actively holding and playing an acoustic guitar in various settings and contexts.
352,Hanging catkin fruit clusters,0.92,False,1.0,1.0,,"All images show elongated, drooping flower or fruit clusters (catkins) in burgundy, pink, or tan colors hanging from branches with broad green leaves, characteristic of plants like pepper, sumac, or similar species."
369,Tall grass and grass-like vegetation,0.95,False,1.0,1.0,,"All images consistently feature upright, elongated grass blades or similar linear vegetation with directional texture patterns characteristic of grassland, prairie, or reed growth."
384,White flowers in dense vertical clusters,0.95,False,1.0,1.0,,"All images show white or pale flowers arranged in tight, elongated flower spikes or racemes against green foliage, characteristic of plants like Tofieldia or similar alpine/wetland flowering species."
7,Citrus fruit cross-sections,0.98,False,1.0,1.0,,"All images show sliced citrus fruits (oranges, grapefruits, lemons) displaying their characteristic radial segmentation and central seed cavity."
21,grass and grass-like vegetation,0.95,False,1.0,1.0,,"All images show various types of grass, reeds, or similar elongated fibrous plant material with characteristic linear blade patterns."
403,Teepee-shaped structures and buildings,0.95,False,1.0,1.0,,"All images feature distinctive conical/triangular tent-like or teepee-shaped structures, either actual teepees or buildings designed with this geometric form."
115,Borage flowers with fuzzy sepals,0.92,False,1.0,1.0,,"All images show the distinctive blue petals and characteristic hairy/fuzzy calyx and stems of borage (Borago officinalis) plants, often with visible bees."
406,Ocean waves and surf foam,0.92,False,1.0,1.0,,"All images show aerial or overhead views of water with white foaming waves, turbulent surf, or wave patterns in various water conditions."
407,Balls of yarn or thread,0.95,False,1.0,1.0,,"All images show wound yarn, thread, or fiber in ball or spool form with visible radial winding patterns."
96,Yellow-green foliage and leaves,0.85,False,1.0,1.0,,"The feature consistently activates on bright yellow-green colored plant leaves and foliage, with varying levels of saturation and lighting conditions."
408,Rocky shorelines and boulder-covered coastlines,0.92,False,1.0,1.0,,"Nearly all images feature large rocks, boulders, or rocky terrain prominently displayed along coastal or waterfront settings."
434,Mountain climbing and mountaineers,0.95,False,1.0,1.0,,"All images depict people actively climbing or traversing mountainous terrain, often at high altitudes with specialized equipment and gear."
437,Waterfalls in forested mountain terrain,0.95,False,1.0,1.0,,All images consistently show flowing waterfalls descending through dense green forests and mountainous landscapes.
423,Daisy-like flowers with radiating petals,0.95,False,1.0,1.0,,"All images show flowers with characteristic radial petal arrangements around a central disk, including daisies, gerberas, asters, and cornflowers."
433,Billiard tables and pool tables,0.98,False,1.0,1.0,,"All 16 images feature pool/billiard tables with various felt colors (green, blue, red) and wooden frames in different indoor settings."
436,Human face portrait headshot,0.95,False,1.0,1.0,,"All 16 images are close-up portraits or headshots of human faces, primarily showing head and shoulders against plain or simple backgrounds."
441,Snow-capped conical volcanoes,0.98,False,1.0,1.0,,"All images depict distinctive cone-shaped volcanic mountains, most with snow or ice on their peaks, viewed from various angles and distances."
425,white clustered flower heads,0.95,False,1.0,1.0,,"All images feature white umbel or corymb-type flower clusters (likely Hawthorn or similar flowering plant) with bright white petals arranged in dense, rounded inflorescences."
452,Spiral or coiled flower structure,0.92,False,1.0,1.0,,"All images feature flowers with prominent spiral or coiled morphological structures, predominantly purple orchids with characteristic curved, twisted petals forming spiral patterns."
186,spherical legumes or seeds in bulk,0.95,False,1.0,1.0,,"All images show densely packed round dried legumes (lentils, chickpeas, or similar pulses) photographed from above as heaps or piles."
469,vehicle dashboard and steering wheel,0.92,False,1.0,1.0,,All images show interior views of vehicle cabins with prominent steering wheels and instrument panels/dashboards visible.
478,Daisy flowers with yellow centers,0.95,False,1.0,1.0,,"All images show daisy-like flowers with prominent yellow disk centers and blue/purple/white radiating petals, consistent across all 16 examples."
485,Diced vegetables in liquid/soup,0.85,False,1.0,1.0,,"Images show chopped or cubed vegetables (potatoes, tomatoes, onions, peppers) suspended in broths, soups, or stews, characterized by small uniform pieces in liquid cooking preparations."
481,Cereal grain heads and ears,0.95,False,1.0,1.0,,"All images show wheat, barley, or similar grain crops with characteristic elongated seed heads and awns, displayed at various angles and backgrounds."
365,Grass flower spikes,0.92,False,1.0,1.0,,"All images prominently feature vertical flowering spikes or seed heads of grasses, with characteristic dense, columnar inflorescences in yellowy-green tones."
379,Ball in flight during athletic play,0.92,False,1.0,1.0,,"Nearly all images show a ball (soccer, volleyball, tennis, or similar) captured mid-air during active sports competition or training."
499,Lit candle flame,0.98,False,1.0,1.0,,"All images show illuminated candles with visible flames against dark backgrounds, displaying consistent warm orange/yellow lighting."
502,Cliff-built structures and architecture,0.85,False,1.0,1.0,,"Images consistently show buildings, temples, and structures built into or on steep rocky cliffs and canyon walls, often in East Asian mountainous regions."
504,Omelets and egg-based dishes,0.92,False,1.0,1.0,,"All images show cooked egg dishes with various fillings and toppings, primarily omelets, frittatas, and scrambled egg preparations."
345,Small clustered flowers in bloom,0.95,False,1.0,1.0,,"All images show tightly clustered small flowers arranged in dense groupings, typically in pink, white, or purple tones on branches or stems."
439,Rifle magazine and ammunition feed systems,0.92,False,1.0,1.0,,All images prominently feature detachable box magazines or curved ammunition feeding mechanisms characteristic of modern rifles and submachine guns.
343,Red and purple round fruits,0.92,False,1.0,1.0,,"The images predominantly feature red apples, grapes, and plums - spherical fruits with glossy surfaces in red, burgundy, and purple hues."
6,Carnivorous pitcher plants,0.92,False,1.0,1.0,,"All images show distinctive pitcher-shaped carnivorous plant flowers with characteristic ribbed, pouch-like structures in burgundy, purple, and yellow-green colors."
461,Spiky clustered flower heads with radiating petals,0.92,False,1.0,1.0,,"All images show flowers with distinctive spiky or quilled petals arranged in dense, clustered heads, characteristic of bee balm, bergamot, or similar tubular composite flowers."
464,Legumes and dried beans,0.92,False,1.0,1.0,,"All images show densely packed spherical legume seeds including lentils, peas, chickpeas, and beans in various colors ranging from green to yellow to brown."
462,Volcanic islands with steep cliffs,0.92,False,1.0,1.0,,"Images consistently show Mediterranean or volcanic islands characterized by prominent rocky cliffs, dark volcanic rock formations, and deep blue surrounding waters."
530,Radial flower petals with central stamen,0.92,False,1.0,1.0,,"All images feature flowers with distinctly radiating petals arranged around a visible central core or stamen, emphasizing radial symmetry."
538,Banana bunches,0.95,False,1.0,1.0,,"All images show clusters of bananas at various stages of ripeness, from green to yellow, with characteristic curved fruit arranged in hand-like bunches."
526,Horse jumping over obstacles,0.98,False,1.0,1.0,,All images show horses and riders in equestrian jumping competitions clearing various types of jumps and fences.
528,Human faces and portraits,0.95,False,1.0,1.0,,"All 16 images are straightforward headshots or close-up portraits of human faces, with varying expressions, ages, and lighting conditions."
547,Smooth oval candies or beans,0.92,False,1.0,1.0,,"All images show collections of glossy, smooth, oval-shaped objects typical of candies like jelly beans, almonds, or similar confections with shiny surfaces."
551,Sunglasses worn by people,0.98,False,1.0,1.0,,All 16 images feature individuals wearing sunglasses as the dominant visual element.
559,Fuzzy tubular flower structures,0.92,False,1.0,1.0,,"All images show densely packed, velvety or fuzzy cylindrical or finger-like flower clusters with warm colors (reds, oranges, yellows, magentas)."
412,Red poppies flowers,0.95,False,1.0,1.0,,"Nearly all images feature red or coral-colored poppy flowers, characterized by their distinctive papery petals and often visible seed pods."
566,Flower centers with stamens,0.92,False,1.0,1.0,,"All images prominently feature the visible central reproductive structures (stamens and pistils) of open flowers, often highlighted by contrasting colors."
549,Palmate lobed leaves,0.95,False,1.0,1.0,,"All images show plants with distinctive hand-like or star-shaped leaves divided into multiple radiating lobes, characteristic of palmate leaf morphology."
573,insects with bold striped/banded patterns,0.85,False,1.0,1.0,,"The feature activates on insects (wasps, beetles, dragonflies, moths, butterflies) displaying prominent yellow-black, red-black, or other high-contrast striped or banded coloration patterns."
534,Coastal cliffs overlooking ocean,0.95,False,1.0,1.0,,"All images feature dramatic cliff formations adjacent to turbulent coastal waters, consistently showing the distinctive geological feature of elevated rocky terrain meeting the sea."
589,Yellow flowers with clover-like leaves,0.92,False,1.0,1.0,,"All images feature small yellow flowers growing among green foliage with characteristic clover or trefoil-shaped leaves, consistent with plants like buttercups or oxalis species."
455,Small-leaved green leafy plants,0.92,False,1.0,1.0,,"All images show dense clusters of small, bright green leaves characteristic of herbs, seedlings, or low-growing vegetation like lettuce, clover, or similar foliage plants."
624,Bread with scored surface patterns,0.92,False,1.0,1.0,,"All images show artisanal bread with distinctive slash marks, scoring, or surface scoring patterns characteristic of bakery bread design."
622,grass blades and meadow vegetation,0.95,False,1.0,1.0,,"All images feature close-up or medium shots of green grass, grass fields, or herbaceous vegetation with characteristic linear blade structures."
611,Toilet seats and bowls,0.95,False,1.0,1.0,,"All images prominently feature toilets from various angles, conditions, and contexts, with emphasis on the seat and bowl openings."
638,Hexagonal honeycomb cellular structure,0.95,False,1.0,1.0,,"All images show the distinctive repeating hexagonal pattern characteristic of bee honeycomb, wasp nests, or similar natural/biological cellular structures."
489,Hands playing acoustic guitar,0.95,False,1.0,1.0,,"Nearly all images show hands in close contact with acoustic guitar necks or bodies, focusing on the physical interaction between fingers and the instrument."
628,Small purple and white flowers clustered,0.92,False,1.0,1.0,,"All images show delicate flowers with purple centers and white petals arranged in small clusters on green stems, characteristic of speedwell or similar herbaceous plants."
594,Full blooming roses and peonies,0.92,False,1.0,1.0,,"All images show fully doubled flowers with layered petals characteristic of roses and peonies in various colors, often displayed in close-up views emphasizing their voluminous, multi-petaled structure."
670,Crème brûlée with caramelized sugar top,0.95,False,1.0,1.0,,All images show the characteristic burnt sugar crust surface of crème brûlée desserts in various vessels and presentations.
561,Wood grain and linear texture,0.92,False,1.0,1.0,,"All images display strong parallel linear patterns characteristic of wood surfaces, wood fiber textures, or wood-like materials with consistent directional grain patterns."
487,Red orange trumpet flowers,0.95,False,1.0,1.0,,"All images show bright red-orange flowering plants with characteristic trumpet or funnel-shaped blooms, appearing to be rhododendrons or azaleas."
292,Collections of media cases arranged in grids,0.92,False,1.0,1.0,,"All images show organized collections of DVD cases, CD cases, trading cards, or similar boxed media items displayed in flat-lay overhead views with rectangular grid patterns."
689,Peony flowers,0.95,False,1.0,1.0,,"All images feature peonies characterized by their full, layered petals, round bloom shape, and distinctive appearance in pink, red, and magenta varieties."
684,White flower with yellow stamen,0.95,False,1.0,1.0,,"All images show white petaled flowers with prominent yellow or gold colored centers/stamens, appearing to be desert wildflowers like prickly pear or similar species."
454,Chess game and players,0.95,False,1.0,1.0,,"All images show people actively playing chess or engaged in chess competitions/tournaments, with chess boards and pieces clearly visible."
661,Analog wall clocks,0.98,False,1.0,1.0,,"All 16 images are analog clocks with circular faces, numbered dials, and hour/minute hands in various styles and conditions."
697,Pink/purple tubular flowers,0.95,False,1.0,1.0,,"All images feature distinctly bell-shaped or tubular magenta/pink/purple flowers, likely digitalis (foxglove) or similar species, with characteristic spotted throats and tubular morphology."
700,Fern fronds and foliage,0.95,False,1.0,1.0,,"All images show ferns with their characteristic feathery, pinnate (feather-like) leaf structure in various lighting and growth conditions."
160,Dense clusters of small delicate flowers,0.92,False,1.0,1.0,,"All images show tightly packed, small flowering plants with predominantly white, pink, or purple blooms, such as baby's breath, sweet alyssum, or similar clustering flower types."
497,Sailboats with raised sails racing,0.95,False,1.0,1.0,,"All images depict sailboats on water with prominent white or colored sails deployed, many appearing to be in competitive sailing or regatta conditions."
710,Enclosed or covered trailers,0.85,False,1.0,1.0,,"Images consistently show trailers with protective coverings, canvas tops, or enclosed cargo areas in various colors and configurations."
715,Tower structures in architecture,0.92,False,1.0,1.0,,"All images prominently feature vertical tower structures, including church towers, bell towers, minarets, and architectural towers as the central visual element."
691,Small yellow flowers and buds,0.92,False,1.0,1.0,,"All images feature bright yellow, clustered small flowers or flowering buds on stems/branches in various plant forms including shrubs and herbs."
503,Purple flowering plants in grass,0.92,False,1.0,1.0,,"All images consistently show purple or pink flowers blooming among green vegetation, primarily in natural outdoor settings."
702,Yellow flowers in green foliage,0.95,False,1.0,1.0,,"All images consistently show small yellow flowers blooming among green plants and leaves, with the flowers being the dominant focal point."
740,Wildflower fields and blooming meadows,0.95,False,1.0,1.0,,"All images depict dense carpets of flowering plants in open fields, predominantly yellow and orange wildflowers in natural landscape settings."
582,Purple iris flowers,0.95,False,1.0,1.0,,All images show iris flowers with distinctive purple petals and yellow centers in various lighting conditions and angles.
342,Purple thistle flowers,0.95,False,1.0,1.0,,"All images show distinctive spiky, spherical purple/magenta thistle flower heads, which are characteristic members of the Cirsium genus with their prominent prickly bracts."
737,Red trumpet-shaped flowers,0.95,False,1.0,1.0,,"All images show red or crimson tubular/trumpet-shaped flowers with distinctive bilateral symmetry, consistent with amaryllis, hippeastrum, or similar ornamental lily species."
672,Decorative thermos bottles with floral patterns,0.92,False,1.0,1.0,,"All images show insulated beverage containers (thermoses/travel mugs) decorated with floral designs, featuring metal caps and colorful prints on cylindrical bodies."
747,Flooded rice paddies,0.98,False,1.0,1.0,,"All images consistently show wet agricultural fields with characteristic water-filled rice paddies at various growth stages, often with visible field lines and terracing."
755,Fern fronds and foliage,0.95,False,1.0,1.0,,"All images show fern plants with characteristic feathery, branching leaf patterns in various green tones and lighting conditions."
762,Water lilies with prominent yellow center,0.95,False,1.0,1.0,,"All images show water lily flowers with radial petal arrangement and distinctive bright yellow stamens/centers, varying in petal colors from purple to pink to white."
787,Mushroom caps with spotted texture,0.95,False,1.0,1.0,,All images show spherical or dome-shaped fungi with characteristic fine dotted/pitted surface patterns typical of puffball or similar mushroom species.
780,Grain crops and cereal plants,0.95,False,1.0,1.0,,"All images depict cultivated grain crops (wheat, barley, rye) in various growth stages, from young shoots to mature heads with characteristic spiky/feathery seed structures."
793,Fudge or chocolate confectionery pieces,0.92,False,1.0,1.0,,"All images show cut or broken pieces of fudge, brownies, or similar dense chocolate-based candies/desserts, typically arranged on plates or surfaces."
786,green beans or okra pods,0.92,False,1.0,1.0,,"Nearly all images show elongated green legume/vegetable pods with characteristic ridged texture, mostly photographed from directly above or at angles."
664,Orchid flowers,0.95,False,1.0,1.0,,"All images show orchid flowers with characteristic symmetric petals, prominent labellum (lip), and column structures in various colors from white to magenta purple."
769,grass or lawn texture,0.95,False,1.0,1.0,,"All images show green grass viewed from above, displaying the characteristic linear blade texture and color of lawn or grassland."
815,Legumes and beans,0.95,False,1.0,1.0,,"All images show various types of beans, peas, and legumes in different colors (brown, tan, pink, purple, white) and preparations (raw, dried, cooked)."
742,Dragon fruit (pitaya),0.98,False,1.0,1.0,,All images show the distinctive pink/magenta exterior with characteristic green leaf-like bracts of dragon fruit at various angles and stages.
783,Coca-Cola cans and bottles,0.98,False,1.0,1.0,,"All images show Coca-Cola branded beverage containers in various orientations, lighting conditions, and contexts, consistently displaying the distinctive red color and white script logo."
797,Orchid flowers,0.95,False,1.0,1.0,,"All images show orchid flowers with characteristic bilateral symmetry, central column structure, and diverse color variations including purple, yellow, orange, and white varieties."
848,submersible sump pumps,0.95,False,1.0,1.0,,"All images show compact, cylindrical submersible pump units with handles and discharge outlets, primarily used for basement water removal and drainage."
844,Green mangoes or unripe mangoes,0.92,False,1.0,1.0,,"Nearly all images show green, oval-shaped fruits with characteristic mango morphology, small dried sepals at the base, and typical mango groupings, though a few later tiles show ripe mangoes and possibly avocados."
775,Small delicate flowering herbaceous plants,0.92,False,1.0,1.0,,"All images show small green herbaceous plants with tiny flowers, featuring thin stems, narrow leaves, and miniature white or pale blooms characteristic of wildflowers or weeds."
857,Monumental triumphal arch gateway,0.95,False,1.0,1.0,,"All images feature large-scale arches with ornamental towers and bastions, predominantly rendered in red/brown brick, functioning as civic or triumphal gateways in urban plazas."
824,Radial rosette plant structure,0.95,False,1.0,1.0,,"All images show succulent or yucca-like plants with tightly packed, blade-like leaves arranged in a radial, symmetrical rosette pattern viewed from above."
802,blackberries,0.95,False,1.0,1.0,,"All images feature blackberries in various contexts - on plants, in bowls, on dishes, or close-up shots of their characteristic dark purple-black bumpy spherical drupelets."
850,Sunflower seed head,0.98,False,1.0,1.0,,All images show the distinctive spiral pattern and dense seed structure characteristic of sunflower (Helianthus) flower heads.
872,Pink or magenta flowers,0.95,False,1.0,1.0,,"All 16 images show flowers with pink, magenta, or purple coloration as the dominant visual feature."
853,Red wine in glass,0.95,False,1.0,1.0,,All images show dark red wine contained in clear wine glasses with various backgrounds and lighting conditions.
861,Spherical bubbles or droplets,0.95,False,1.0,1.0,,"All images show collections of round, three-dimensional spherical forms (bubbles, droplets, or spheres) densely packed or scattered across various colored backgrounds."
862,Clustered berries on branches,0.95,False,1.0,1.0,,"All images show dense clusters of small spherical berries (blackberries, elderberries, rowan berries, currants) hanging from branches or stems."
860,Ukulele front body and sound hole,0.95,False,1.0,1.0,,"All 16 images show ukuleles photographed from the front, featuring the characteristic round sound hole and wooden body with strings, consistent across different wood types and finishes."
877,Banana leaves and stems,0.92,False,1.0,1.0,,"All images show characteristic elongated green leaves with prominent parallel veins and central ribs typical of banana plants, often with visible reddish or purple stems and petioles."
903,Car wheel rims,0.98,False,1.0,1.0,,"All images show automotive wheel rims/alloy wheels with various designs, colors, and finishes mounted on tires."
893,Trumpet-shaped or funnel-shaped flowers,0.92,False,1.0,1.0,,"All images show flowers with characteristic tubular, funnel, or trumpet morphology including morning glories, petunias, and similar flower types."
608,Protea flowers with radiating needle-like stamens,0.95,False,1.0,1.0,,"All images show protea flowers characterized by distinctive spiky, needle-like stamens radiating outward from a central disk, typically in warm colors ranging from red to orange to pink."
914,Baseball defensive fielding stance,0.92,False,1.0,1.0,,"Nearly all images show baseball players in ready positions characteristic of fielders awaiting the pitch, with bent knees and forward-leaning posture."
884,Kaaba and Masjid al-Haram,0.98,False,1.0,1.0,,All images depict the Kaaba (black cubic structure) at the center of Masjid al-Haram in Mecca with crowds of Muslim pilgrims performing Hajj or Umrah rituals.
918,Red curtains with vertical pleats,0.92,False,1.0,1.0,,Nearly all images show distinctive red theatrical or stage curtains with characteristic vertical fold patterns and pleating.
913,Orange-red flowering plants,0.92,False,1.0,1.0,,"All images show clusters of bright orange to red flowers with similar petal morphology, appearing to be from the Linaria or similar snapdragon-family plants."
935,curved metal tubes and pipes,0.85,False,1.0,1.0,,"Images predominantly show various curved, bent, or angled metal tubing and piping components, likely automotive or mechanical parts."
919,yellow flowers in clusters,0.95,False,1.0,1.0,,"All images show densely clustered yellow flowers, predominantly featuring varieties like forsythia, daffodils, and other small yellow blooms arranged in grouped inflorescences."
892,Hamburgers and cheeseburgers,0.98,False,1.0,1.0,,"All images show burger sandwiches with sesame seed buns, meat patties, and various toppings like lettuce, cheese, and condiments."
647,Columbine flowers with red petals,0.92,False,1.0,1.0,,All images show columbine flowers (Aquilegia species) characterized by distinctive red/pink outer sepals and yellow inner petals with prominent stamens.
